STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,californiaDataAir_State,californiaDataAir_Median AQI
"06","091","00277310","06091",Sierra,Sierra County,"06",H1,G4020,,,,A,"2468694582","23299110","+39.5769252","-120.5219926",,
"06","067","00277298","06067",Sacramento,Sacramento County,"06",H1,G4020,"472","40900",,A,"2500040418","75346029","+38.4501363","-121.3443291",California,"43"
"06","083","00277306","06083",Santa Barbara,Santa Barbara County,"06",H1,G4020,,"42200",,A,"7080860393","2729213352","+34.5366774","-120.0383645",California,"41"
"06","009","01675885","06009",Calaveras,Calaveras County,"06",H1,G4020,,,,A,"2641837359","43789489","+38.1910682","-120.5541065",California,"38"
"06","111","00277320","06111",Ventura,Ventura County,"06",H1,G4020,"348","37100",,A,"4767622152","947345735","+34.3587477","-119.1331453",California,"48"
"06","037","00277283","06037",Los Angeles,Los Angeles County,"06",H1,G4020,"348","31080","31084",A,"10513491099","1787501506","+34.1963983","-118.2618616",California,"64"
"06","097","01657246","06097",Sonoma,Sonoma County,"06",H1,G4020,"488","42220",,A,"4080862341","498084088","+38.5251824","-122.9261095",California,"33"
"06","031","00277280","06031",Kings,Kings County,"06",H1,G4020,"260","25260",,A,"3602601923","3164290","+36.0724780","-119.8155301",California,"56"
"06","073","00277301","06073",San Diego,San Diego County,"06",H1,G4020,,"41740",,A,"10904455257","817317026","+33.0236041","-116.7761174",California,"58"
"06","061","00277295","06061",Placer,Placer County,"06",H1,G4020,"472","40900",,A,"3644306224","246466621","+39.0620323","-120.7227181",California,"55"
"06","075","00277302","06075",San Francisco,San Francisco County,"06",H6,G4020,"488","41860","41884",C,"121507089","479146790","+37.7272391","-123.0322294",California,"37"
"06","041","00277285","06041",Marin,Marin County,"06",H1,G4020,"488","41860","42034",A,"1347889807","797077678","+38.0513667","-122.7463958",California,"34"
"06","043","00277286","06043",Mariposa,Mariposa County,"06",H1,G4020,,,,A,"3752476985","36220865","+37.5743432","-119.9117215",California,"47"
"06","035","01693324","06035",Lassen,Lassen County,"06",H1,G4020,,"45000",,A,"11762017378","463024232","+40.7152866","-120.6212225",,
"06","055","00277292","06055",Napa,Napa County,"06",H1,G4020,"488","34900",,A,"1938032964","104262608","+38.5070999","-122.3259045",California,"38"
"06","089","01682610","06089",Shasta,Shasta County,"06",H1,G4020,"454","39820",,A,"9778551576","186157964","+40.7605142","-122.0435558",California,"46"
"06","053","00277291","06053",Monterey,Monterey County,"06",H1,G4020,,"41500",,A,"8499623032","1267793988","+36.2401044","-121.3155781",California,"38"
"06","105","00277317","06105",Trinity,Trinity County,"06",H1,G4020,,,,A,"8234265080","73407950","+40.6478582","-123.1146660",California,"23"
"06","045","00277287","06045",Mendocino,Mendocino County,"06",H1,G4020,,"46380",,A,"9082632466","961740401","+39.4323876","-123.4428811",,
"06","027","01804637","06027",Inyo,Inyo County,"06",H1,G4020,,,,A,"26410783053","77280938","+36.5621604","-117.4042092",California,"58"
"06","051","00277290","06051",Mono,Mono County,"06",H1,G4020,,,,A,"7896624729","214695677","+37.9158363","-118.8751668",California,"17"
"06","109","00277319","06109",Tuolumne,Tuolumne County,"06",H1,G4020,,"43760",,A,"5752133237","138668837","+38.0214344","-119.9647335",California,"37"
"06","095","00277312","06095",Solano,Solano County,"06",H1,G4020,"488","46700",,A,"2128527683","218619356","+38.2672255","-121.9395940",California,"41"
"06","071","00277300","06071",San Bernardino,San Bernardino County,"06",H1,G4020,"348","40140",,A,"51975908919","96406054","+34.8566615","-116.1815707",California,"80"
"06","013","01675903","06013",Contra Costa,Contra Costa County,"06",H1,G4020,"488","41860","36084",A,"1856838508","225278783","+37.9194790","-121.9515431",California,"43"
"06","003","01675840","06003",Alpine,Alpine County,"06",H1,G4020,,,,A,"1912292607","12557304","+38.6217831","-119.7983522",,
"06","017","00277273","06017",El Dorado,El Dorado County,"06",H1,G4020,"472","40900",,A,"4423309715","203342317","+38.7856116","-120.5342245",California,"39"
"06","113","00277321","06113",Yolo,Yolo County,"06",H1,G4020,"472","40900",,A,"2628145869","22877242","+38.6796091","-121.9027500",California,"40"
"06","115","00277322","06115",Yuba,Yuba County,"06",H1,G4020,"472","49700",,A,"1636887865","31084093","+39.2701300","-121.3442587",,
"06","069","00277299","06069",San Benito,San Benito County,"06",H1,G4020,"488","41940",,A,"3596591085","4719300","+36.6116507","-121.0858108",California,"41"
"06","023","01681908","06023",Humboldt,Humboldt County,"06",H1,G4020,,"21700",,A,"9241565229","1253726036","+40.7066554","-123.9261757",California,"31"
"06","065","00277297","06065",Riverside,Riverside County,"06",H1,G4020,"348","40140",,A,"18671921166","243201314","+33.7298275","-116.0022389",California,"79"
"06","029","02054176","06029",Kern,Kern County,"06",H1,G4020,,"12540",,A,"21068634240","78407748","+35.3466288","-118.7295064",California,"56"
"06","011","01675902","06011",Colusa,Colusa County,"06",H1,G4020,,,,A,"2980332727","14608884","+39.1777385","-122.2375629",California,"38"
"06","015","01682074","06015",Del Norte,Del Norte County,"06",H1,G4020,,"18860",,A,"2606118035","578742633","+41.7499033","-123.9809983",California,"27"
"06","049","00277289","06049",Modoc,Modoc County,"06",H1,G4020,,,,A,"10225877726","660503268","+41.5929185","-120.7183704",,
"06","019","00277274","06019",Fresno,Fresno County,"06",H1,G4020,"260","23420",,A,"15432139292","136609893","+36.7610058","-119.6550193",California,"58"
"06","039","00277284","06039",Madera,Madera County,"06",H1,G4020,"260","31460",,A,"5534591552","42271836","+37.2098213","-119.7498023",California,"49"
"06","085","00277307","06085",Santa Clara,Santa Clara County,"06",H1,G4020,"488","41940",,A,"3343892719","33595850","+37.2216142","-121.6895401",California,"45"
"06","103","01692767","06103",Tehama,Tehama County,"06",H1,G4020,"454","39780",,A,"7638229340","33767224","+40.1261573","-122.2322737",California,"43"
"06","077","00277303","06077",San Joaquin,San Joaquin County,"06",H1,G4020,"488","44700",,A,"3606222502","89027654","+37.9349815","-121.2722440",California,"47"
"06","001","01675839","06001",Alameda,Alameda County,"06",H1,G4020,"488","41860","36084",A,"1910017353","216902808","+37.6471385","-121.9124880",California,"46"
"06","057","01682927","06057",Nevada,Nevada County,"06",H1,G4020,"472","46020",,A,"2480587302","41531993","+39.2975082","-120.7713429",California,"48"
"06","007","01675842","06007",Butte,Butte County,"06",H1,G4020,,"17020",,A,"4238488698","105260548","+39.6653362","-121.6032086",California,"42"
"06","047","00277288","06047",Merced,Merced County,"06",H1,G4020,"488","32900",,A,"5019407132","105277636","+37.1948063","-120.7228019",California,"28"
"06","107","00277318","06107",Tulare,Tulare County,"06",H1,G4020,,"47300",,A,"12493840855","37260863","+36.2288339","-118.7810551",California,"77"
"06","099","00277314","06099",Stanislaus,Stanislaus County,"06",H1,G4020,"488","33700",,A,"3874667294","46351770","+37.5623162","-121.0028311",California,"55"
"06","059","00277294","06059",Orange,Orange County,"06",H1,G4020,"348","31080","11244",A,"2053449483","406294114","+33.6756872","-117.7772068",California,"46"
"06","025","00277277","06025",Imperial,Imperial County,"06",H1,G4020,,"20940",,A,"10814595262","790216761","+33.0408143","-115.3554001",California,"48"
"06","101","00277315","06101",Sutter,Sutter County,"06",H1,G4020,"472","49700",,A,"1560975503","14811541","+39.0361898","-121.7039397",California,"40"
"06","005","01675841","06005",Amador,Amador County,"06",H1,G4020,,,,A,"1539965777","29438413","+38.4435493","-120.6538580",California,"33"
"06","033","00277281","06033",Lake,Lake County,"06",H1,G4020,,"17340",,A,"3254452700","188748214","+39.0948019","-122.7467569",California,"34"
"06","063","00277296","06063",Plumas,Plumas County,"06",H1,G4020,,,,A,"6612400772","156387638","+39.9922953","-120.8243709",California,"61"
"06","081","00277305","06081",San Mateo,San Mateo County,"06",H1,G4020,"488","41860","41884",A,"1161922036","757123906","+37.4146725","-122.3715457",California,"34"
"06","093","00277311","06093",Siskiyou,Siskiyou County,"06",H1,G4020,,,,A,"16261933231","179149816","+41.5879861","-122.5332868",,
"06","087","00277308","06087",Santa Cruz,Santa Cruz County,"06",H1,G4020,"488","42100",,A,"1152823584","419714230","+37.0123466","-122.0077889",California,"35"
"06","021","00277275","06021",Glenn,Glenn County,"06",H1,G4020,,,,A,"3403160301","33693344","+39.6025462","-122.4016998",California,"38"
"06","079","00277304","06079",San Luis Obispo,San Luis Obispo County,"06",H1,G4020,,"42020",,A,"8549172832","815618272","+35.3881891","-120.4488974",California,"50"
